datetime,value,datetime_utc,tz_time,geo_id,geo_name
2022-11-21 05:00:00+01:00,51.4,2022-11-21T04:00:00Z,2022-11-21T04:00:00.000Z,3,España
2022-11-21 06:00:00+01:00,60.0,2022-11-21T05:00:00Z,2022-11-21T05:00:00.000Z,3,España
2022-11-21 07:00:00+01:00,98.6,2022-11-21T06:00:00Z,2022-11-21T06:00:00.000Z,3,España
2022-11-21 08:00:00+01:00,101.32,2022-11-21T07:00:00Z,2022-11-21T07:00:00.000Z,3,España
2022-11-21 09:00:00+01:00,101.84,2022-11-21T08:00:00Z,2022-11-21T08:00:00.000Z,3,España
2022-11-21 10:00:00+01:00,98.54,2022-11-21T09:00:00Z,2022-11-21T09:00:00.000Z,3,España
2022-11-21 11:00:00+01:00,97.84,2022-11-21T10:00:00Z,2022-11-21T10:00:00.000Z,3,España
2022-11-21 12:00:00+01:00,98.54,2022-11-21T11:00:00Z,2022-11-21T11:00:00.000Z,3,España
2022-11-21 13:00:00+01:00,97.84,2022-11-21T12:00:00Z,2022-11-21T12:00:00.000Z,3,España
2022-11-21 14:00:00+01:00,80.23,2022-11-21T13:00:00Z,2022-11-21T13:00:00.000Z,3,España
2022-11-21 15:00:00+01:00,67.72,2022-11-21T14:00:00Z,2022-11-21T14:00:00.000Z,3,España
2022-11-21 16:00:00+01:00,67.57,2022-11-21T15:00:00Z,2022-11-21T15:00:00.000Z,3,España
2022-11-21 17:00:00+01:00,80.23,2022-11-21T16:00:00Z,2022-11-21T16:00:00.000Z,3,España
2022-11-21 18:00:00+01:00,98.54,2022-11-21T17:00:00Z,2022-11-21T17:00:00.000Z,3,España
2022-11-21 19:00:00+01:00,95.01,2022-11-21T18:00:00Z,2022-11-21T18:00:00.000Z,3,España
2022-11-21 20:00:00+01:00,95.01,2022-11-21T19:00:00Z,2022-11-21T19:00:00.000Z,3,España
2022-11-21 21:00:00+01:00,97.84,2022-11-21T20:00:00Z,2022-11-21T20:00:00.000Z,3,España
2022-11-21 22:00:00+01:00,67.52,2022-11-21T21:00:00Z,2022-11-21T21:00:00.000Z,3,España
2022-11-21 23:00:00+01:00,52.0,2022-11-21T22:00:00Z,2022-11-21T22:00:00.000Z,3,España
2022-11-22 00:00:00+01:00,48.9,2022-11-21T23:00:00Z,2022-11-21T23:00:00.000Z,3,España
2022-11-22 01:00:00+01:00,48.0,2022-11-22T00:00:00Z,2022-11-22T00:00:00.000Z,3,España
2022-11-22 02:00:00+01:00,48.0,2022-11-22T01:00:00Z,2022-11-22T01:00:00.000Z,3,España
2022-11-22 03:00:00+01:00,47.2,2022-11-22T02:00:00Z,2022-11-22T02:00:00.000Z,3,España
2022-11-22 04:00:00+01:00,47.2,2022-11-22T03:00:00Z,2022-11-22T03:00:00.000Z,3,España
2022-11-22 05:00:00+01:00,48.9,2022-11-22T04:00:00Z,2022-11-22T04:00:00.000Z,3,España
2022-11-22 06:00:00+01:00,52.9,2022-11-22T05:00:00Z,2022-11-22T05:00:00.000Z,3,España
2022-11-22 07:00:00+01:00,90.0,2022-11-22T06:00:00Z,2022-11-22T06:00:00.000Z,3,España
2022-11-22 08:00:00+01:00,100.0,2022-11-22T07:00:00Z,2022-11-22T07:00:00.000Z,3,España
2022-11-22 09:00:00+01:00,99.63,2022-11-22T08:00:00Z,2022-11-22T08:00:00.000Z,3,España
2022-11-22 10:00:00+01:00,84.2,2022-11-22T09:00:00Z,2022-11-22T09:00:00.000Z,3,España
2022-11-22 11:00:00+01:00,66.37,2022-11-22T10:00:00Z,2022-11-22T10:00:00.000Z,3,España
2022-11-22 12:00:00+01:00,62.7,2022-11-22T11:00:00Z,2022-11-22T11:00:00.000Z,3,España
2022-11-22 13:00:00+01:00,60.5,2022-11-22T12:00:00Z,2022-11-22T12:00:00.000Z,3,España
2022-11-22 14:00:00+01:00,62.0,2022-11-22T13:00:00Z,2022-11-22T13:00:00.000Z,3,España
2022-11-22 15:00:00+01:00,66.37,2022-11-22T14:00:00Z,2022-11-22T14:00:00.000Z,3,España
2022-11-22 16:00:00+01:00,79.51,2022-11-22T15:00:00Z,2022-11-22T15:00:00.000Z,3,España
2022-11-22 17:00:00+01:00,99.0,2022-11-22T16:00:00Z,2022-11-22T16:00:00.000Z,3,España
2022-11-22 18:00:00+01:00,103.2,2022-11-22T17:00:00Z,2022-11-22T17:00:00.000Z,3,España
2022-11-22 19:00:00+01:00,108.0,2022-11-22T18:00:00Z,2022-11-22T18:00:00.000Z,3,España
